2025-07-08 12:50:29.779 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-07-08 12:50:29.797 [main] INFO  c.i.i.ImCommunicationSystemApplicationTests - Starting ImCommunicationSystemApplicationTests using Java 17.0.2 with PID 6236 (started by ASUS in d:\Project\im-communication-system)
2025-07-08 12:50:29.799 [main] INFO  c.i.i.ImCommunicationSystemApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-07-08 12:50:30.602 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-07-08 12:50:30.603 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-07-08 12:50:30.617 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 JPA repository interfaces.
2025-07-08 12:50:31.019 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-07-08 12:50:31.022 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-07-08 12:50:31.041 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
2025-07-08 12:50:32.323 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-07-08 12:50:32.491 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
2025-07-08 12:50:32.544 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-07-08 12:50:32.887 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-07-08 12:50:32.911 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-07-08 12:50:34.346 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-07-08 12:50:34.352 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-07-08 12:50:36.001 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager
2025-07-08 12:50:37.259 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoints beneath base path '/actuator'
2025-07-08 12:50:38.618 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Starting...
2025-07-08 12:50:38.620 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@1d07d728]]
2025-07-08 12:50:38.621 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Started.
2025-07-08 12:50:38.631 [main] INFO  c.i.i.ImCommunicationSystemApplicationTests - Started ImCommunicationSystemApplicationTests in 9.242 seconds (process running for 10.28)
2025-07-08 12:50:39.258 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Stopping...
2025-07-08 12:50:39.259 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@1d07d728]]
2025-07-08 12:50:39.259 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Stopped.
2025-07-08 12:50:39.295 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-07-08 13:16:32.581 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-07-08 13:16:32.610 [main] INFO  c.i.i.c.c.VerificationCodeConfigTest - Starting VerificationCodeConfigTest using Java 17.0.2 with PID 18900 (started by ASUS in D:\Project\im-communication-system)
2025-07-08 13:16:32.611 [main] INFO  c.i.i.c.c.VerificationCodeConfigTest - No active profile set, falling back to 1 default profile: "default"
